tag	bridge	console	kprobe	attempt	rc	nres	errno1	signal1	c1_total	c1_uniq	c1_hypRAW	c1_hypUNQ	c1_brRAW	c1_brUNQ	c1_uartRAW	c1_uartUNQ	c1_bad	c0_total	c0_uniq	c0_hypRAW	c0_hypUNQ	c0_brRAW	c0_brUNQ	c0_uartRAW	c0_uartUNQ	c0_bad	faults	ret_nonzero	overflow	skip	warn	printk
r1-off-loud-kpoff	off	loud	off	1	0	1	0	8431	229954 5916 0 0 0 0 0 0 0	1234 701 0 0 0 0 0 0 0	NA	NA	0	0	0	NA/0417
r1-on-loud-kpoff	on	loud	off	1	0	1	0	8845	255963 5985 26525 132 0 0 0 0 0	1234 701 0 0 0 0 0 0 0	NA	NA	0	0	0	NA/0417
r1-off-quiet-kpoff	off	quiet	off	1	0	1	0	8205	229301 5813 0 0 0 0 0 0 0	1234 701 0 0 0 0 0 0 0	NA	NA	0	0	0	7413/0417
r1-on-quiet-kpoff	on	quiet	off	1	0	1	0	8844	255876 6053 26311 132 0 0 0 0 0	1234 701 0 0 0 0 0 0 0	NA	NA	0	0	0	7413/0417
r1-off-loud-kpon	off	loud	on	1	0	1	0	9458	263639 6193 0 0 0 0 0 0 0	1235 702 0 0 0 0 0 0 0	78	0	0	0	0	NA/0417
r1-on-loud-kpon	on	loud	on	1	0	1	0	10072	290453 6342 26971 132 0 0 0 0 0	1235 702 0 0 0 0 0 0 0	78	0	0	0	0	NA/0417
r1-off-quiet-kpon	off	quiet	on	1	0	1	0	9393	263586 6160 0 0 0 0 0 0 0	1234 701 0 0 0 0 0 0 0	78	0	0	0	0	7413/0417
r1-on-quiet-kpon	on	quiet	on	1	0	1	0	10099	290447 6347 26995 132 0 0 0 0 0	1234 701 0 0 0 0 0 0 0	78	0	0	0	0	7413/0417
r2-on-loud-kpoff	on	loud	off	1	0	1	0	8736	256382 5956 26995 132 0 0 0 0 0	1235 702 0 0 0 0 0 0 0	NA	NA	0	0	0	NA/0417
r2-off-quiet-kpoff	off	quiet	off	1	0	1	0	8244	228684 5844 0 0 0 0 0 0 0	1233 700 0 0 0 0 0 0 0	NA	NA	0	0	0	7413/0417
r2-on-quiet-kpoff	on	quiet	off	1	0	1	0	8808	256131 5962 26809 132 0 0 0 0 0	1234 701 0 0 0 0 0 0 0	NA	NA	0	0	0	7413/0417
r2-off-loud-kpon	off	loud	on	1	0	1	0	9396	263445 6157 0 0 0 0 0 0 0	1259 724 0 0 0 0 0 0 0	78	0	0	0	0	NA/0417
r2-on-loud-kpon	on	loud	on	1	0	1	0	10037	289977 6292 26280 132 0 0 0 0 0	1235 702 0 0 0 0 0 0 0	78	0	0	0	0	NA/0417
r2-off-quiet-kpon	off	quiet	on	1	0	1	0	9470	263268 6207 0 0 0 0 0 0 0	1235 702 0 0 0 0 0 0 0	78	0	0	0	0	7413/0417
r2-on-quiet-kpon	on	quiet	on	1	0	1	0	10161	290681 6357 26878 132 0 0 0 0 0	1234 701 0 0 0 0 0 0 0	78	0	0	0	0	7413/0417
r2-off-loud-kpoff	off	loud	off	1	0	1	0	8301	229475 5830 0 0 0 0 0 0 0	1235 702 0 0 0 0 0 0 0	NA	NA	0	0	0	NA/0417
r3-off-quiet-kpoff	off	quiet	off	1	0	1	0	8246	228993 5840 0 0 0 0 0 0 0	1234 701 0 0 0 0 0 0 0	NA	NA	0	0	0	7413/0417
r3-on-quiet-kpoff	on	quiet	off	1	0	1	0	8838	256227 5977 26890 132 0 0 0 0 0	1267 715 0 0 0 0 0 0 0	NA	NA	0	0	0	7413/0417
r3-off-loud-kpon	off	loud	on	1	0	1	0	9412	263416 6167 0 0 0 0 0 0 0	1234 701 0 0 0 0 0 0 0	78	0	0	0	0	NA/0417
r3-on-loud-kpon	on	loud	on	1	0	1	0	10063	289920 6326 26914 132 0 0 0 0 0	1234 701 0 0 0 0 0 0 0	78	0	0	0	0	NA/0417
r3-off-quiet-kpon	off	quiet	on	1	0	1	0	9402	263306 6175 0 0 0 0 0 0 0	1234 701 0 0 0 0 0 0 0	78	0	0	0	0	7413/0417
r3-on-quiet-kpon	on	quiet	on	1	0	1	0	10043	290244 6314 26995 132 0 0 0 0 0	1235 702 0 0 0 0 0 0 0	78	0	0	0	0	7413/0417
r3-off-loud-kpoff	off	loud	off	1	0	1	0	8333	229042 5841 0 0 0 0 0 0 0	1233 700 0 0 0 0 0 0 0	NA	NA	0	0	0	NA/0417
r3-on-loud-kpoff	on	loud	off	1	0	1	0	8825	255872 5974 26585 132 0 0 0 0 0	1268 716 0 0 0 0 0 0 0	NA	NA	0	0	0	NA/0417
