check_memory_region_flags	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1560
kvm_activate_memslot	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1728
kvm_activate_memslot	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1730
kvm_arch_commit_memory_region	arch/arm64/kvm/mmu.c:2445
kvm_arch_commit_memory_region	arch/arm64/kvm/mmu.c:2480
kvm_arch_flush_shadow_memslot	arch/arm64/kvm/mmu.c:2575
kvm_arch_free_memslot	arch/arm64/kvm/mmu.c:2559
kvm_arch_memslots_updated	arch/arm64/kvm/mmu.c:2563
kvm_arch_prepare_memory_region	arch/arm64/kvm/mmu.c:2494
kvm_arch_prepare_memory_region	arch/arm64/kvm/mmu.c:2495
kvm_arch_prepare_memory_region	arch/arm64/kvm/mmu.c:2499
kvm_arch_prepare_memory_region	arch/arm64/kvm/mmu.c:2500
kvm_arch_prepare_memory_region	arch/arm64/kvm/mmu.c:2505
kvm_arch_prepare_memory_region	arch/arm64/kvm/mmu.c:2513
kvm_arch_prepare_memory_region	arch/arm64/kvm/mmu.c:2516
kvm_arch_prepare_memory_region	arch/arm64/kvm/mmu.c:2543
kvm_arch_prepare_memory_region	arch/arm64/kvm/mmu.c:2550
kvm_arch_prepare_memory_region	arch/arm64/kvm/mmu.c:2554
kvm_check_memslot_overlap	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1935
kvm_check_memslot_overlap	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1937
kvm_commit_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1667
kvm_commit_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1668
kvm_commit_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1675
kvm_commit_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1676
kvm_commit_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1684
kvm_copy_memslot	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1739
kvm_create_memslot	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1795
kvm_erase_gfn_node	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1475
kvm_free_memslot	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:992
kvm_free_memslots	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1012
kvm_insert_gfn_node	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1468
kvm_insert_gfn_node	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1469
kvm_memslots_get_as_id	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1435
kvm_memslots_get_as_id	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1439
kvm_memslots_get_as_id	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1441
kvm_memslots_get_as_id	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1443
kvm_memslots_get_as_id	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1444
kvm_prepare_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1639
kvm_prepare_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1640
kvm_prepare_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1653
kvm_prepare_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1656
kvm_replace_gfn_node	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1482
